Analytical_Fact_ID,Yearly_Authority,Golden_Truth_Fact_IDs,Canonical_Metric_ID,Formula_ID,Unit_Conversion,Restatement_Decision,Accounting_Basis_Decision
2021::AN_INVESTED_CAPITAL,golden_truth/2021/CURRENT_RELEASE_AUTHORITY.json,2021::BS_TOTAL_EQUITY|2021::BS_CASH|2021::BS_RESTRICTED_CASH|2021::BS_TERM_DEPOSITS|2021::BS_LONG_TERM_INVESTMENTS|2021::BS_TRADING_FINANCIAL_ASSETS,AN_INVESTED_CAPITAL,F_IC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2021::AN_NOPAT,golden_truth/2021/CURRENT_RELEASE_AUTHORITY.json,2021::IS_OPERATING_PROFIT|2021::IS_INCOME_TAX|2021::IS_PBT,AN_NOPAT,F_NOPAT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2021::AN_NET_MARGIN,golden_truth/2021/CURRENT_RELEASE_AUTHORITY.json,2021::IS_NET_PROFIT|2021::IS_TOTAL_REVENUE,AN_NET_MARGIN,F_NET_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2021::AN_CFO_MARGIN,golden_truth/2021/CURRENT_RELEASE_AUTHORITY.json,2021::CF_CFO|2021::IS_TOTAL_REVENUE,AN_CFO_MARGIN,F_CFO_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2021::AN_ROA,golden_truth/2021/CURRENT_RELEASE_AUTHORITY.json,2021::IS_NET_PROFIT|2021::BS_TOTAL_ASSETS,AN_ROA,F_ROA,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2021::AN_ROE,golden_truth/2021/CURRENT_RELEASE_AUTHORITY.json,2021::IS_NET_PROFIT|2021::BS_TOTAL_EQUITY,AN_ROE,F_ROE,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2021::AN_DELTA_NWC,golden_truth/2021/CURRENT_RELEASE_AUTHORITY.json,2021::BS_AR|2021::BS_INVENTORY|2021::BS_CONTRACT_ASSETS|2021::BS_PREPAYMENTS|2021::BS_OTHER_RECEIVABLES|2021::BS_AP|2021::BS_CONTRACT_LIABILITIES|2021::BS_NOTES_PAYABLE|2021::BS_EMPLOYEE_COMP|2021::BS_OTHER_PAYABLES|2021::BS_TAXES_PAYABLE,AN_DELTA_NWC,F_DNWC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2021::AN_FCFF,golden_truth/2021/CURRENT_RELEASE_AUTHORITY.json,2021::IS_OPERATING_PROFIT|2021::IS_INCOME_TAX|2021::IS_PBT|2021::NOTE_TOTAL_DA|2021::CF_CAPEX|2021::BS_AR|2021::BS_INVENTORY|2021::BS_CONTRACT_ASSETS|2021::BS_PREPAYMENTS|2021::BS_OTHER_RECEIVABLES|2021::BS_AP|2021::BS_CONTRACT_LIABILITIES|2021::BS_NOTES_PAYABLE|2021::BS_EMPLOYEE_COMP|2021::BS_OTHER_PAYABLES|2021::BS_TAXES_PAYABLE,AN_FCFF,F_FCFF,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2022::AN_OPERATING_NWC,golden_truth/2022/CURRENT_RELEASE_AUTHORITY.json,2022::BS_AR|2022::BS_INVENTORY|2022::BS_CONTRACT_ASSETS|2022::BS_PREPAYMENTS|2022::BS_OTHER_RECEIVABLES|2022::BS_AP|2022::BS_CONTRACT_LIABILITIES|2022::BS_NOTES_PAYABLE|2022::BS_EMPLOYEE_COMP|2022::BS_OTHER_PAYABLES|2022::BS_TAXES_PAYABLE,AN_OPERATING_NWC,F_NWC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2022::AN_GROSS_DEBT,golden_truth/2022/CURRENT_RELEASE_AUTHORITY.json,2022::BS_SHORT_TERM_BORROWING|2022::BS_CURRENT_PORTION_DEBT|2022::BS_LONG_TERM_BORROWINGS,AN_GROSS_DEBT,F_DEBT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2022::AN_INVESTED_CAPITAL,golden_truth/2022/CURRENT_RELEASE_AUTHORITY.json,2022::BS_TOTAL_EQUITY|2022::BS_CASH|2022::BS_RESTRICTED_CASH|2022::BS_TERM_DEPOSITS|2022::BS_LONG_TERM_INVESTMENTS|2022::BS_TRADING_FINANCIAL_ASSETS,AN_INVESTED_CAPITAL,F_IC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2022::AN_NOPAT,golden_truth/2022/CURRENT_RELEASE_AUTHORITY.json,2022::IS_OPERATING_PROFIT|2022::IS_INCOME_TAX|2022::IS_PBT,AN_NOPAT,F_NOPAT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2022::AN_NET_MARGIN,golden_truth/2022/CURRENT_RELEASE_AUTHORITY.json,2022::IS_NET_PROFIT|2022::IS_TOTAL_REVENUE,AN_NET_MARGIN,F_NET_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2022::AN_CFO_MARGIN,golden_truth/2022/CURRENT_RELEASE_AUTHORITY.json,2022::CF_CFO|2022::IS_TOTAL_REVENUE,AN_CFO_MARGIN,F_CFO_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2022::AN_ROA,golden_truth/2022/CURRENT_RELEASE_AUTHORITY.json,2022::IS_NET_PROFIT|2022::BS_TOTAL_ASSETS,AN_ROA,F_ROA,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2022::AN_ROE,golden_truth/2022/CURRENT_RELEASE_AUTHORITY.json,2022::IS_NET_PROFIT|2022::BS_TOTAL_EQUITY,AN_ROE,F_ROE,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2022::AN_DELTA_NWC,golden_truth/2022/CURRENT_RELEASE_AUTHORITY.json,2022::BS_AR|2022::BS_INVENTORY|2022::BS_CONTRACT_ASSETS|2022::BS_PREPAYMENTS|2022::BS_OTHER_RECEIVABLES|2022::BS_AP|2022::BS_CONTRACT_LIABILITIES|2022::BS_NOTES_PAYABLE|2022::BS_EMPLOYEE_COMP|2022::BS_OTHER_PAYABLES|2022::BS_TAXES_PAYABLE,AN_DELTA_NWC,F_DNWC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2022::AN_FCFF,golden_truth/2022/CURRENT_RELEASE_AUTHORITY.json,2022::IS_OPERATING_PROFIT|2022::IS_INCOME_TAX|2022::IS_PBT|2022::NOTE_TOTAL_DA|2022::CF_CAPEX|2022::BS_AR|2022::BS_INVENTORY|2022::BS_CONTRACT_ASSETS|2022::BS_PREPAYMENTS|2022::BS_OTHER_RECEIVABLES|2022::BS_AP|2022::BS_CONTRACT_LIABILITIES|2022::BS_NOTES_PAYABLE|2022::BS_EMPLOYEE_COMP|2022::BS_OTHER_PAYABLES|2022::BS_TAXES_PAYABLE,AN_FCFF,F_FCFF,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2023::AN_OPERATING_NWC,golden_truth/2023/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2023::BS_AR|LATER_AUDITED_COMPARATIVE_2023::BS_INVENTORY|LATER_AUDITED_COMPARATIVE_2023::BS_CONTRACT_ASSETS|LATER_AUDITED_COMPARATIVE_2023::BS_PREPAYMENTS|LATER_AUDITED_COMPARATIVE_2023::BS_OTHER_RECEIVABLES|LATER_AUDITED_COMPARATIVE_2023::BS_AP|LATER_AUDITED_COMPARATIVE_2023::BS_CONTRACT_LIABILITIES|LATER_AUDITED_COMPARATIVE_2023::BS_NOTES_PAYABLE|LATER_AUDITED_COMPARATIVE_2023::BS_EMPLOYEE_COMP|LATER_AUDITED_COMPARATIVE_2023::BS_OTHER_PAYABLES|LATER_AUDITED_COMPARATIVE_2023::BS_TAXES_PAYABLE,AN_OPERATING_NWC,F_NWC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2023::AN_GROSS_DEBT,golden_truth/2023/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2023::BS_SHORT_TERM_BORROWING|LATER_AUDITED_COMPARATIVE_2023::BS_CURRENT_PORTION_DEBT|LATER_AUDITED_COMPARATIVE_2023::BS_LONG_TERM_BORROWINGS,AN_GROSS_DEBT,F_DEBT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2023::AN_INVESTED_CAPITAL,golden_truth/2023/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2023::BS_TOTAL_EQUITY|LATER_AUDITED_COMPARATIVE_2023::BS_CASH|ORIGINAL_REPORTED_2023::BS_RESTRICTED_CASH|ORIGINAL_REPORTED_2023::BS_TERM_DEPOSITS|LATER_AUDITED_COMPARATIVE_2023::BS_LONG_TERM_INVESTMENTS|LATER_AUDITED_COMPARATIVE_2023::BS_TRADING_FINANCIAL_ASSETS,AN_INVESTED_CAPITAL,F_IC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2023::AN_NOPAT,golden_truth/2023/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2023::IS_OPERATING_PROFIT|LATER_AUDITED_COMPARATIVE_2023::IS_INCOME_TAX|LATER_AUDITED_COMPARATIVE_2023::IS_PBT,AN_NOPAT,F_NOPAT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2023::AN_NET_MARGIN,golden_truth/2023/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2023::IS_NET_PROFIT|LATER_AUDITED_COMPARATIVE_2023::IS_TOTAL_REVENUE,AN_NET_MARGIN,F_NET_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2023::AN_CFO_MARGIN,golden_truth/2023/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2023::CF_CFO|LATER_AUDITED_COMPARATIVE_2023::IS_TOTAL_REVENUE,AN_CFO_MARGIN,F_CFO_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2023::AN_ROA,golden_truth/2023/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2023::IS_NET_PROFIT|LATER_AUDITED_COMPARATIVE_2023::BS_TOTAL_ASSETS,AN_ROA,F_ROA,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2023::AN_ROE,golden_truth/2023/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2023::IS_NET_PROFIT|LATER_AUDITED_COMPARATIVE_2023::BS_TOTAL_EQUITY,AN_ROE,F_ROE,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2023::AN_DELTA_NWC,golden_truth/2023/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2023::BS_AR|LATER_AUDITED_COMPARATIVE_2023::BS_INVENTORY|LATER_AUDITED_COMPARATIVE_2023::BS_CONTRACT_ASSETS|LATER_AUDITED_COMPARATIVE_2023::BS_PREPAYMENTS|LATER_AUDITED_COMPARATIVE_2023::BS_OTHER_RECEIVABLES|LATER_AUDITED_COMPARATIVE_2023::BS_AP|LATER_AUDITED_COMPARATIVE_2023::BS_CONTRACT_LIABILITIES|LATER_AUDITED_COMPARATIVE_2023::BS_NOTES_PAYABLE|LATER_AUDITED_COMPARATIVE_2023::BS_EMPLOYEE_COMP|LATER_AUDITED_COMPARATIVE_2023::BS_OTHER_PAYABLES|LATER_AUDITED_COMPARATIVE_2023::BS_TAXES_PAYABLE,AN_DELTA_NWC,F_DNWC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2023::AN_FCFF,golden_truth/2023/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2023::IS_OPERATING_PROFIT|LATER_AUDITED_COMPARATIVE_2023::IS_INCOME_TAX|LATER_AUDITED_COMPARATIVE_2023::IS_PBT|ORIGINAL_REPORTED_2023::NOTE_TOTAL_DA|LATER_AUDITED_COMPARATIVE_2023::CF_CAPEX|LATER_AUDITED_COMPARATIVE_2023::BS_AR|LATER_AUDITED_COMPARATIVE_2023::BS_INVENTORY|LATER_AUDITED_COMPARATIVE_2023::BS_CONTRACT_ASSETS|LATER_AUDITED_COMPARATIVE_2023::BS_PREPAYMENTS|LATER_AUDITED_COMPARATIVE_2023::BS_OTHER_RECEIVABLES|LATER_AUDITED_COMPARATIVE_2023::BS_AP|LATER_AUDITED_COMPARATIVE_2023::BS_CONTRACT_LIABILITIES|LATER_AUDITED_COMPARATIVE_2023::BS_NOTES_PAYABLE|LATER_AUDITED_COMPARATIVE_2023::BS_EMPLOYEE_COMP|LATER_AUDITED_COMPARATIVE_2023::BS_OTHER_PAYABLES|LATER_AUDITED_COMPARATIVE_2023::BS_TAXES_PAYABLE,AN_FCFF,F_FCFF,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2024::AN_OPERATING_NWC,golden_truth/2024/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2024_CAS::BS_AR|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_INVENTORY|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_CONTRACT_ASSETS|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_PREPAYMENTS|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_OTHER_RECEIVABLES|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_AP|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_CONTRACT_LIABILITIES|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_NOTES_PAYABLE|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_EMPLOYEE_COMP|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_OTHER_PAYABLES|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_TAXES_PAYABLE,AN_OPERATING_NWC,F_NWC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2024::AN_GROSS_DEBT,golden_truth/2024/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2024_CAS::BS_SHORT_TERM_BORROWING|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_CURRENT_PORTION_DEBT|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_LONG_TERM_BORROWINGS,AN_GROSS_DEBT,F_DEBT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2024::AN_INVESTED_CAPITAL,golden_truth/2024/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2024_CAS::BS_TOTAL_EQUITY|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_CASH|ORIGINAL_REPORTED_2024_CAS::BS_RESTRICTED_CASH|ORIGINAL_REPORTED_2024_CAS::BS_TERM_DEPOSITS|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_LONG_TERM_INVESTMENTS|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_TRADING_FINANCIAL_ASSETS,AN_INVESTED_CAPITAL,F_IC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2024::AN_NOPAT,golden_truth/2024/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2024_CAS::IS_OPERATING_PROFIT|LATER_AUDITED_COMPARATIVE_2024_CAS::IS_INCOME_TAX|LATER_AUDITED_COMPARATIVE_2024_CAS::IS_PBT,AN_NOPAT,F_NOPAT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2024::AN_NET_MARGIN,golden_truth/2024/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2024_CAS::IS_NET_PROFIT|LATER_AUDITED_COMPARATIVE_2024_CAS::IS_TOTAL_REVENUE,AN_NET_MARGIN,F_NET_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2024::AN_CFO_MARGIN,golden_truth/2024/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2024_CAS::CF_CFO|LATER_AUDITED_COMPARATIVE_2024_CAS::IS_TOTAL_REVENUE,AN_CFO_MARGIN,F_CFO_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2024::AN_ROA,golden_truth/2024/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2024_CAS::IS_NET_PROFIT|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_TOTAL_ASSETS,AN_ROA,F_ROA,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2024::AN_ROE,golden_truth/2024/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2024_CAS::IS_NET_PROFIT|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_TOTAL_EQUITY,AN_ROE,F_ROE,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2024::AN_DELTA_NWC,golden_truth/2024/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2024_CAS::BS_AR|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_INVENTORY|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_CONTRACT_ASSETS|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_PREPAYMENTS|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_OTHER_RECEIVABLES|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_AP|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_CONTRACT_LIABILITIES|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_NOTES_PAYABLE|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_EMPLOYEE_COMP|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_OTHER_PAYABLES|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_TAXES_PAYABLE,AN_DELTA_NWC,F_DNWC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2024::AN_FCFF,golden_truth/2024/CURRENT_RELEASE_AUTHORITY.json,LATER_AUDITED_COMPARATIVE_2024_CAS::IS_OPERATING_PROFIT|LATER_AUDITED_COMPARATIVE_2024_CAS::IS_INCOME_TAX|LATER_AUDITED_COMPARATIVE_2024_CAS::IS_PBT|ORIGINAL_REPORTED_2024_CAS::NOTE_TOTAL_DA|LATER_AUDITED_COMPARATIVE_2024_CAS::CF_CAPEX|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_AR|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_INVENTORY|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_CONTRACT_ASSETS|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_PREPAYMENTS|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_OTHER_RECEIVABLES|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_AP|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_CONTRACT_LIABILITIES|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_NOTES_PAYABLE|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_EMPLOYEE_COMP|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_OTHER_PAYABLES|LATER_AUDITED_COMPARATIVE_2024_CAS::BS_TAXES_PAYABLE,AN_FCFF,F_FCFF,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2025::AN_OPERATING_NWC,golden_truth/2025/CURRENT_RELEASE_AUTHORITY.json,ORIGINAL_REPORTED_2025_CAS::BS_AR|ORIGINAL_REPORTED_2025_CAS::BS_INVENTORY|ORIGINAL_REPORTED_2025_CAS::BS_CONTRACT_ASSETS|ORIGINAL_REPORTED_2025_CAS::BS_PREPAYMENTS|ORIGINAL_REPORTED_2025_CAS::BS_OTHER_RECEIVABLES|ORIGINAL_REPORTED_2025_CAS::BS_AP|ORIGINAL_REPORTED_2025_CAS::BS_CONTRACT_LIABILITIES|ORIGINAL_REPORTED_2025_CAS::BS_NOTES_PAYABLE|ORIGINAL_REPORTED_2025_CAS::BS_EMPLOYEE_COMP|ORIGINAL_REPORTED_2025_CAS::BS_OTHER_PAYABLES|ORIGINAL_REPORTED_2025_CAS::BS_TAXES_PAYABLE,AN_OPERATING_NWC,F_NWC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2025::AN_GROSS_DEBT,golden_truth/2025/CURRENT_RELEASE_AUTHORITY.json,ORIGINAL_REPORTED_2025_CAS::BS_SHORT_TERM_BORROWING|ORIGINAL_REPORTED_2025_CAS::BS_CURRENT_PORTION_DEBT|ORIGINAL_REPORTED_2025_CAS::BS_LONG_TERM_BORROWINGS,AN_GROSS_DEBT,F_DEBT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2025::AN_INVESTED_CAPITAL,golden_truth/2025/CURRENT_RELEASE_AUTHORITY.json,ORIGINAL_REPORTED_2025_CAS::BS_TOTAL_EQUITY|ORIGINAL_REPORTED_2025_CAS::BS_CASH|ORIGINAL_REPORTED_2025_CAS::BS_RESTRICTED_CASH|ORIGINAL_REPORTED_2025_CAS::BS_TERM_DEPOSITS|ORIGINAL_REPORTED_2025_CAS::BS_LONG_TERM_INVESTMENTS|ORIGINAL_REPORTED_2025_CAS::BS_TRADING_FINANCIAL_ASSETS,AN_INVESTED_CAPITAL,F_IC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2025::AN_NOPAT,golden_truth/2025/CURRENT_RELEASE_AUTHORITY.json,ORIGINAL_REPORTED_2025_CAS::IS_OPERATING_PROFIT|ORIGINAL_REPORTED_2025_CAS::IS_INCOME_TAX|ORIGINAL_REPORTED_2025_CAS::IS_PBT,AN_NOPAT,F_NOPAT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2025::AN_NET_MARGIN,golden_truth/2025/CURRENT_RELEASE_AUTHORITY.json,ORIGINAL_REPORTED_2025_CAS::IS_NET_PROFIT|ORIGINAL_REPORTED_2025_CAS::IS_TOTAL_REVENUE,AN_NET_MARGIN,F_NET_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2025::AN_CFO_MARGIN,golden_truth/2025/CURRENT_RELEASE_AUTHORITY.json,ORIGINAL_REPORTED_2025_CAS::CF_CFO|ORIGINAL_REPORTED_2025_CAS::IS_TOTAL_REVENUE,AN_CFO_MARGIN,F_CFO_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2025::AN_ROA,golden_truth/2025/CURRENT_RELEASE_AUTHORITY.json,ORIGINAL_REPORTED_2025_CAS::IS_NET_PROFIT|ORIGINAL_REPORTED_2025_CAS::BS_TOTAL_ASSETS,AN_ROA,F_ROA,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2025::AN_ROE,golden_truth/2025/CURRENT_RELEASE_AUTHORITY.json,ORIGINAL_REPORTED_2025_CAS::IS_NET_PROFIT|ORIGINAL_REPORTED_2025_CAS::BS_TOTAL_EQUITY,AN_ROE,F_ROE,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
